gamma,lambda,tau_r,D_c,seed,copter_mode,rover_start_r,rover_start_c,copter_start_r,copter_start_c,max_k,complete,fail,k_final,which_phi,epochs,avg_expanded,avg_Phi,avg_G,avg_C_r,avg_C_c,avg_I,avg_u_r,avg_u_c,final_Phi,final_G,rover_path_length,copter_path_length,runtime_s
0,0,0.3,5,1,utility,5,4,5,7,300,False,False,304,,38,51.44736842105263,2.3834297307817778,-0.1449553121188363,0.04187864048744281,0.11616351479929198,1.6855900286004082,-0.1449553121188363,2.3834297307817778,-0.13008498671351476,-0.13008498671351476,114.41421356237309,4.414213562373095,1.2364754170412198
0,0,0.3,5,2,utility,8,1,8,4,300,False,False,304,,38,31.5,1.4175014554043484,-0.259127796191267,0.032387264137445804,0.11616351479929198,1.1177528343970757,-0.259127796191267,1.4175014554043484,-0.2473657496646899,-0.2473657496646899,114.82842712474618,4.414213562373095,1.1198296659858897
0,0,0.3,5,3,utility,8,4,1,1,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,1.3862943611198906,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,2.0,0.0,0.03805345809087157
0,0,0.3,5,4,utility,2,3,4,6,300,False,False,304,,38,127.13157894736842,13.650984670953562,-0.20814106608495497,0.06714968721396329,0.15789473684210525,9.239417158025677,-0.20814106608495497,13.650984670953562,15.201487809493646,-0.07488481319171546,114.41421356237309,5.0,3.0341488328995183
0,0,0.3,5,5,utility,8,8,1,4,300,False,False,304,,38,28.236842105263158,-0.777446235532972,-0.777446235532972,0.05472214583367989,0.0,0.0,-0.777446235532972,-0.777446235532972,-0.2149507381776437,-0.2149507381776437,114.0,0.0,0.8479617499979213
0,0,0.3,5,6,utility,7,4,8,2,300,False,False,304,,38,56.3421052631579,1.8231746969258271,-0.17065911431171585,0.02249182386117914,0.13157894736842105,1.3292225408250273,-0.17065911431171585,1.8231746969258271,-0.156534062375899,-0.156534062375899,114.82842712474618,5.0,1.1699544170405716
0,0,0.3,5,7,utility,4,9,5,6,300,False,False,304,,38,52.73684210526316,1.8609383397023742,-0.231798564382286,0.03904925977920609,0.12706387170384711,1.395157936056437,-0.231798564382286,1.8609383397023742,-0.1962561211973425,-0.1962561211973425,118.14213562373095,3.414213562373095,1.1437779170228168
0,0,0.3,5,8,utility,4,7,3,3,300,False,False,304,,38,45.026315789473685,2.380580548367631,-0.26478793466439443,0.02920249030567232,0.11616351479929198,1.7635789886880158,-0.26478793466439443,2.380580548367631,-0.24686395047644044,-0.24686395047644044,116.07106781186548,4.414213562373095,1.2568013749551028
0,0,0.3,5,9,utility,9,6,9,0,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,2.0794415416798357,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,3.0,0.0,0.04824758297763765
0,0,0.3,5,10,utility,1,1,2,2,300,False,False,304,,38,84.97368421052632,7.941678356560186,-0.14569613218771282,0.012668534426854066,0.20149616446032578,5.391582992498601,-0.14569613218771282,7.941678356560186,7.560923170825696,-0.1218635877569696,114.41421356237309,4.82842712474619,2.7134323329664767
0,0,0.3,5,11,utility,9,9,8,6,300,False,False,304,,38,19.55263157894737,1.1742990170208707,-0.2654881293115836,0.026726067083205164,0.12706387170384711,0.9598580975549705,-0.2654881293115836,1.1742990170208707,-0.2516878285225901,-0.2516878285225901,114.41421356237309,4.82842712474619,1.0930887500289828
0,0,0.3,5,12,utility,9,8,5,7,300,False,False,304,,38,38.0,1.167113347085117,-0.4928506431839171,0.049693996590876574,0.11616351479929198,1.1066426601793558,-0.4928506431839171,1.167113347085117,-0.48107852869073064,-0.48107852869073064,143.40916292848962,4.414213562373095,1.171885707997717
0,0,0.3,5,13,utility,8,1,5,9,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,1.3862943611198906,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,2.0,0.0,0.049271499970927835
0,0,0.3,5,14,utility,3,8,2,1,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,0.6931471805599453,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.0,0.0,0.02300212497357279
0,0,0.3,5,15,utility,2,1,1,6,300,False,False,304,,38,55.31578947368421,4.136515003496336,-0.7950318740290299,0.05472214583367989,0.15789473684210525,3.2876979183502435,-0.7950318740290299,4.136515003496336,-0.24983958945260304,-0.24983958945260304,113.0,5.0,2.3811207090038806
0,0,0.3,5,16,utility,4,9,4,1,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,1.3862943611198906,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,2.0,0.0,0.03219433396589011
0,0,0.3,5,17,utility,8,2,1,1,300,False,False,304,,38,89.28947368421052,11.277603222799527,-0.723985609059401,0.05472214583367989,0.11616351479929198,8.00105922123928,-0.723985609059401,11.277603222799527,15.341687243382578,-0.18221733864261444,114.0,4.414213562373095,2.3960956250084564
0,0,0.3,5,18,utility,7,2,4,1,300,False,False,304,,38,61.26315789473684,2.0820903749355923,-0.06822308718634379,0.025268631912786787,0.12706387170384711,1.4335423080812864,-0.06822308718634379,2.0820903749355923,-0.036495745697543096,-0.036495745697543096,114.0,4.82842712474619,1.1310589589411393
0,0,0.3,5,19,utility,4,0,9,3,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,2.0794415416798357,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,3.0,0.0,0.029049791977740824
0,0,0.3,5,20,utility,3,0,4,5,300,False,True,8,,1,0.0,-20.72326583694641,-20.72326583694641,1.3862943611198906,0.0,0.0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,2.0,0.0,0.03533899993635714
0,0,0.3,5,21,utility,9,4,7,0,300,False,False,304,,38,29.157894736842106,1.2932251730875457,-0.23467019422536053,0.035511551926108643,0.12706387170384711,1.0185969115419362,-0.23467019422536053,1.2932251730875457,-0.18661739277139938,-0.18661739277139938,138.85281374238562,4.82842712474619,1.0515136669855565
0,0,0.3,5,22,utility,3,6,4,4,300,False,False,304,,38,52.18421052631579,2.160510067963806,-0.4848809416106638,0.012668534426854066,0.13157894736842105,1.763594006382983,-0.4848809416106638,2.160510067963806,-0.4524899122131262,-0.4524899122131262,114.41421356237309,5.0,1.2137123750289902
0,0,0.3,5,23,utility,0,0,0,0,300,False,False,304,,38,48.026315789473685,3.2543196520536077,-0.15721492299111856,0.04530807902789145,0.1859077658485784,2.274356383363147,-0.15721492299111856,3.2543196520536077,-0.12186358775684154,-0.12186358775684154,136.36753236814707,4.82842712474619,1.533963416935876
0,0,0.3,5,24,utility,4,6,6,8,300,False,False,304,,38,116.76315789473684,13.046402186010885,-0.23018316670097808,0.05913451534344332,0.12706387170384711,8.851056901807906,-0.23018316670097808,13.046402186010885,-0.03886921565868654,-0.03886921565868654,114.0,4.82842712474619,2.5212123750243336
0,0,0.3,5,25,utility,0,6,4,8,300,False,False,304,,38,65.07894736842105,4.743258988851937,-0.26003223956908245,0.06002165635370002,0.15337966117753132,3.335527485614019,-0.26003223956908245,4.743258988851937,-0.013418802146916417,-0.013418802146916417,114.0,4.82842712474619,1.8389823330799118
0,0,0.3,5,26,utility,1,9,9,8,300,False,False,304,,38,14.421052631578947,-0.8068559501694373,-0.8068559501694373,0.05586501551508215,0.0,0.0,-0.8068559501694373,-0.8068559501694373,-0.2685746018781687,-0.2685746018781687,112.0,0.0,0.74976004101336
0,0,0.3,5,27,utility,0,5,5,2,300,False,False,304,,38,88.63157894736842,9.205989113995024,-0.8937218835243791,0.05586501551508215,2.3684210526315788,6.733140665012933,-0.8937218835243791,9.205989113995024,-0.2836310143303694,-0.2836310143303694,111.0,0.0,2.172523041954264
0,0,0.3,5,28,utility,7,4,4,0,300,False,True,8,,1,60.0,13.296708220102559,-20.72326583694641,0.6931471805599453,5.0,22.679982704699313,-20.72326583694641,13.296708220102559,13.296708220102559,-20.72326583694641,1.0,0.0,0.1785577500704676
0,0,0.3,5,29,utility,0,1,8,2,300,False,False,304,,38,35.5,-0.6702196729338776,-0.6702196729338776,0.05586501551508215,0.0,0.0,-0.6702196729338776,-0.6702196729338776,-0.0005310085997325626,-0.0005310085997325626,111.0,0.0,0.8222034999635071
0,0,0.3,5,30,utility,5,1,7,2,300,False,False,304,,38,102.13157894736842,10.192727804198102,-0.16698786464814627,0.051646180836628724,0.15789473684210525,6.90647711256416,-0.16698786464814627,10.192727804198102,10.985939023347006,-0.07499187412801578,114.41421356237309,5.0,2.784585874993354
0,0,0.3,10,1,utility,5,4,5,7,300,False,False,304,,38,62.89473684210526,6.730153294230003,-0.24036320014355325,0.035625106458766057,0.28682881412135963,4.647010996249047,-0.24036320014355325,6.730153294230003,-0.19556678728728702,-0.19556678728728702,123.1126983722081,9.485281374238571,1.9992716249544173
0,0,0.3,10,2,utility,8,1,8,4,300,False,False,304,,38,58.44736842105263,4.064702951915862,-0.03570880150015666,0.05019580011646056,0.338110314804823,2.7336078356106777,-0.03570880150015666,4.064702951915862,0.0,0.0,115.24264068711929,9.242640687119284,1.775309000047855
0,0,0.3,10,3,utility,8,4,1,1,300,False,False,304,,38,57.39473684210526,6.025251494530942,-0.2857659714943158,0.056249919737494346,0.3240449604995989,4.207344977350168,-0.2857659714943158,6.025251494530942,-0.1555047159281918,-0.1555047159281918,121.04163056034263,9.485281374238571,1.9693042919971049
0,0,0.3,10,4,utility,2,3,4,6,300,False,False,304,,38,49.473684210526315,5.013916241202108,-0.25626720581977935,0.03918119153050542,0.35939090130243107,3.513455631347926,-0.25626720581977935,5.013916241202108,-0.21481452913340587,-0.21481452913340587,115.24264068711929,9.656854249492381,1.5577104999683797
0,0,0.3,10,5,utility,8,8,1,4,300,False,False,304,,38,24.55263157894737,3.9491391507592946,-0.3678656601986311,0.05472214583367989,0.3347723513615358,2.8780032073052824,-0.3678656601986311,3.9491391507592946,-0.32269389380380475,-0.32269389380380475,114.82842712474618,7.656854249492381,1.5743438330246136
0,0,0.3,10,6,utility,7,4,8,2,300,False,False,304,,38,128.28947368421052,12.821315945495254,-0.16980457052748865,0.10995001256173069,0.32856003616417295,8.660747010681822,-0.16980457052748865,12.821315945495254,13.401062711090873,-0.15563213113878127,114.82842712474618,9.65685424949238,3.384379917057231
0,0,0.3,10,7,utility,4,9,5,6,300,False,False,304,,38,107.92105263157895,10.003412663755384,-0.111537792175498,0.019696502459723677,0.32644521966546486,6.7433003039539186,-0.111537792175498,10.003412663755384,6.791239107915924,-0.013866264803466767,114.0,9.242640687119284,2.9354639999801293
0,0,0.3,10,8,utility,4,7,3,3,300,False,False,304,,38,118.36842105263158,12.321032594817476,-0.14999387270588552,0.03366957192735557,1.3783740473549522,8.314017645015578,-0.14999387270588552,12.321032594817476,12.89359034535214,-0.08146832369735647,115.24264068711929,7.65685424949238,3.4426547080511227
0,0,0.3,10,9,utility,9,6,9,0,300,False,False,304,,38,57.55263157894737,3.8163130580402376,-0.031025047548236293,0.054722574990409834,0.3129716375524255,2.5648920703923146,-0.031025047548236293,3.8163130580402376,0.0,0.0,116.48528137423857,9.65685424949238,1.5693599580554292
0,0,0.3,10,10,utility,1,1,2,2,300,False,False,304,,38,58.89473684210526,4.089704569734074,-0.19426254823841616,0.011229612606283506,0.3763306073617308,2.855978078648321,-0.19426254823841616,4.089704569734074,-0.18071759126798775,-0.18071759126798775,114.82842712474618,9.82842712474619,1.8229904579930007
0,0,0.3,10,11,utility,9,9,8,6,300,False,False,304,,38,50.026315789473685,6.485722692658174,-0.31071377411196066,0.14933983844802573,0.3240449604995989,4.530957644513421,-0.31071377411196066,6.485722692658174,5.2153532892488705,-0.27344280283152084,114.82842712474618,9.485281374238571,8.353429707931355
0,0,0.3,10,12,utility,9,8,5,7,300,False,False,304,,38,83.76315789473684,7.594884953436614,-0.3030715820162861,0.055196006414672066,0.40750740458522555,5.2653043569686,-0.3030715820162861,7.594884953436614,-0.27140834265022573,-0.27140834265022573,116.07106781186548,9.65685424949238,3.9029525000369176
0,0,0.3,10,13,utility,8,1,5,9,300,False,False,304,,38,63.21052631578947,6.3395559811293865,-0.1620847516640087,0.05500599264695638,0.338110314804823,4.334427155195596,-0.1620847516640087,6.3395559811293865,-0.06014801071523968,-0.06014801071523968,125.18376618407356,9.242640687119284,2.228240582975559
0,0,0.3,10,14,utility,3,8,2,1,300,False,False,304,,38,109.65789473684211,13.350752018473433,-0.13563658505707935,0.05481886685563671,0.29134388978593356,8.990925735687014,-0.13563658505707935,13.350752018473433,15.692714545265375,-0.095289400367655,115.24264068711929,9.071067811865476,3.744586916989647
